,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
255,10,1000,250,50,1,75,38.0,32.53,0.11455717373720606
256,30,300,250,50,1,75,38.16,36.53,0.10659562141571675
257,30,500,250,50,1,75,39.76,36.66,0.10429403631816041
258,30,1000,250,50,1,75,38.68,35.54,0.10775337028894279
259,50,300,250,50,1,75,36.36000000000001,38.629999999999995,0.09771688607764001
260,50,500,250,50,1,75,38.96,39.62,0.10001524446581038
261,50,1000,250,50,1,75,38.6,39.410000000000004,0.10207385774577647
262,10,300,250,50,1,100,34.96,31.97,0.10870864124102203
263,10,500,250,50,1,100,37.24,33.68,0.11102019927863098
264,10,1000,250,50,1,100,38.800000000000004,35.11,0.12153229452746617
265,30,300,250,50,1,100,38.279999999999994,37.370000000000005,0.07662837627992435
266,30,500,250,50,1,100,41.52,39.18000000000001,0.11206708380069946
267,30,1000,250,50,1,100,40.400000000000006,38.38,0.11640799204143472
268,50,300,250,50,1,100,37.68,39.940000000000005,0.11036854826907301
269,50,500,250,50,1,100,40.279999999999994,42.279999999999994,0.10772681381387093
270,50,1000,250,50,1,100,38.32,41.91,0.10692764044864395
271,10,300,500,10,1,50,49.08,42.36,0.2664354106103115
272,10,500,500,10,1,50,49.24000000000001,45.065,0.27598815705107665
273,10,1000,500,10,1,50,49.28,44.495,0.2908543009061395
274,30,300,500,10,1,50,48.3,46.959999999999994,0.263887803919862
275,30,500,500,10,1,50,47.980000000000004,45.05499999999999,0.2960718577174939
276,30,1000,500,10,1,50,46.900000000000006,44.135000000000005,0.3147948893066537
277,50,300,500,10,1,50,43.46,48.605,0.26130001290371835
278,50,500,500,10,1,50,46.54,47.675,0.29704767617916533
279,50,1000,500,10,1,50,46.4,47.305,0.3051873805013905
280,10,300,500,10,1,75,48.08,38.415,0.25208705226526257
281,10,500,500,10,1,75,49.9,42.089999999999996,0.27204326995035644
282,10,1000,500,10,1,75,50.0,42.074999999999996,0.27834359181234125
283,30,300,500,10,1,75,48.4,44.255,0.240276452833866
284,30,500,500,10,1,75,50.239999999999995,43.94,0.25697620097248197
285,30,1000,500,10,1,75,50.160000000000004,43.955,0.25815924621861713
286,50,300,500,10,1,75,46.440000000000005,45.14,0.22737087243127305
287,50,500,500,10,1,75,49.08,46.34,0.23090871937534066
288,50,1000,500,10,1,75,49.34,46.43,0.23110175578094397
289,10,300,500,10,1,100,49.519999999999996,46.1,0.26485547966597006
290,10,500,500,10,1,100,51.94,46.825,0.2720285776256189
291,10,1000,500,10,1,100,52.26,47.245,0.2712893093409011
292,30,300,500,10,1,100,50.080000000000005,49.15,0.2771554407456896
293,30,500,500,10,1,100,52.480000000000004,49.45,0.28158628424692694
294,30,1000,500,10,1,100,52.35999999999999,49.535000000000004,0.2767527957120184
295,50,300,500,10,1,100,45.660000000000004,48.17,0.24527045541188683
296,50,500,500,10,1,100,50.5,50.6,0.24449094804043603
297,50,1000,500,10,1,100,50.6,50.475,0.24471834037559723
298,10,300,500,20,1,50,37.96,27.985000000000003,0.19104725370400458
299,10,500,500,20,1,50,38.68,29.874999999999996,0.1989112161295285
300,10,1000,500,20,1,50,39.48,29.25,0.19483976549044943
301,30,300,500,20,1,50,37.5,32.755,0.17412495859339933
302,30,500,500,20,1,50,39.36,33.1,0.18442994042079855
303,30,1000,500,20,1,50,39.42,32.69499999999999,0.1872969565256931
304,50,300,500,20,1,50,36.760000000000005,34.93,0.17466463133497837
305,50,500,500,20,1,50,39.2,34.045,0.17129943479806328
306,50,1000,500,20,1,50,39.62,34.83,0.18282272094304797
307,10,300,500,20,1,75,39.660000000000004,32.555,0.19030893521394024
308,10,500,500,20,1,75,41.31999999999999,33.31,0.18860376598623665
309,10,1000,500,20,1,75,40.76,32.1,0.19293113749905422
310,30,300,500,20,1,75,41.14,36.165,0.19255972772462526
311,30,500,500,20,1,75,42.04,35.52,0.18158011344484604
312,30,1000,500,20,1,75,42.76,35.459999999999994,0.18366241869791564
313,50,300,500,20,1,75,38.800000000000004,37.095,0.17114679943434857
314,50,500,500,20,1,75,41.42,37.08,0.1780465884472564
315,50,1000,500,20,1,75,41.14,36.809999999999995,0.18046314880903483
316,10,300,500,20,1,100,47.08,37.435,0.19737529164135414
317,10,500,500,20,1,100,46.699999999999996,37.015,0.20989485264098537
318,10,1000,500,20,1,100,45.7,37.555,0.20353371606327045
319,30,300,500,20,1,100,45.739999999999995,39.785,0.1900860583025894
320,30,500,500,20,1,100,46.980000000000004,40.06,0.2071992207984299
321,30,1000,500,20,1,100,45.82,38.155,0.20768053481836724
322,50,300,500,20,1,100,43.4,40.715,0.18913890630681923
323,50,500,500,20,1,100,46.54,41.745,0.19978152163522234
324,50,1000,500,20,1,100,47.339999999999996,41.459999999999994,0.1878878109835976
325,10,300,500,30,1,50,35.3,25.830000000000002,0.15409712087929492
326,10,500,500,30,1,50,36.9,28.015,0.1585192500398317
327,10,1000,500,30,1,50,37.26,27.18,0.16537440856945856
328,30,300,500,30,1,50,34.96,30.525000000000002,0.14369059403489404
329,30,500,500,30,1,50,37.980000000000004,30.34,0.15086758429062894
330,30,1000,500,30,1,50,37.879999999999995,31.03,0.14932571655314886
331,50,300,500,30,1,50,32.940000000000005,31.495,0.1341167379185273
332,50,500,500,30,1,50,37.120000000000005,33.21,0.14824078276119473
