,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
319,30,300,100,10,92.69999999999999,97.425,0.0029703431675715706
320,30,500,100,10,95.39999999999999,97.75,0.0026906573340228566
321,30,1000,100,10,95.19999999999999,97.8,0.002708413322242803
322,50,300,100,10,86.4,95.975,0.004001160421660367
323,50,500,100,10,88.00000000000001,96.50000000000001,0.0037519393565502122
324,50,1000,100,10,86.30000000000001,96.4,0.0037873072524819687
325,10,300,100,20,95.7,95.22500000000001,0.004870602554330607
326,10,500,100,20,95.19999999999999,96.625,0.004359290875753458
327,10,1000,100,20,95.0,96.85000000000001,0.003793672742586104
328,30,300,100,20,92.0,97.52499999999999,0.0028357343213198626
329,30,500,100,20,77.3,94.77499999999999,0.014195027647831907
330,30,1000,100,20,93.30000000000001,97.675,0.0027013885933486223
331,50,300,100,20,79.69999999999999,95.35,0.012274913981493015
332,50,500,100,20,70.19999999999999,83.05,0.03348214002633859
333,50,1000,100,20,87.5,96.325,0.0034631287248824256
334,10,300,100,30,94.80000000000001,86.92500000000001,0.005551806069033979
335,10,500,100,30,95.39999999999999,96.8,0.004193448784193651
336,10,1000,100,30,94.0,92.77499999999999,0.005725861077842078
337,30,300,100,30,90.8,97.39999999999999,0.0029052501070953372
338,30,500,100,30,94.19999999999999,97.72500000000001,0.0027671523648401695
339,30,1000,100,30,94.3,97.7,0.002735358749819082
340,50,300,100,30,89.1,96.125,0.003418546249190841
341,50,500,100,30,86.99999999999999,96.4,0.0034165832610831386
342,50,1000,100,30,88.69999999999999,96.25,0.0034433418967788876
343,10,300,100,40,94.80000000000001,95.57499999999999,0.004684374971422447
344,10,500,100,40,95.8,97.10000000000001,0.003932031850427931
345,10,1000,100,40,94.5,95.74999999999999,0.004221903025833106
346,30,300,100,40,92.30000000000001,97.52499999999999,0.002809193016943793
347,30,500,100,40,93.69999999999999,97.775,0.0028308627553547848
348,30,1000,100,40,93.6,97.675,0.0028336687465778253
349,50,300,100,40,87.4,95.925,0.003552570836086533
350,50,500,100,40,87.6,96.42500000000001,0.003320658645061064
351,50,1000,100,40,86.8,96.35000000000001,0.003356450322897111
352,10,300,100,50,95.8,97.55,0.0030636727994847687
353,10,500,100,50,96.6,99.35000000000001,0.00325973913607137
354,10,1000,100,50,94.60000000000001,95.1,0.004718051369478648
355,30,300,100,50,92.10000000000001,97.44999999999999,0.002703526128890142
356,30,500,100,50,93.9,97.65,0.002876254138483305
357,30,1000,100,50,94.80000000000001,97.65,0.0028699532501303884
358,50,300,100,50,58.8,87.6,0.017707633440429717
359,50,500,100,50,88.3,96.30000000000001,0.003343351850865925
360,50,1000,100,50,88.1,96.25,0.0033661241349382783
361,10,300,250,10,95.28000000000002,92.31,0.004264385860812939
362,10,500,250,10,95.60000000000001,92.8,0.0038779174794959957
363,10,1000,250,10,95.48,92.96,0.003561153315143962
364,30,300,250,10,84.28000000000002,72.56,0.0069544149481986835
365,30,500,250,10,83.56,89.14,0.010618113478188543
366,30,1000,250,10,83.6,90.03,0.011837411345330985
367,50,300,250,10,80.80000000000001,86.69,0.01299683950527716
368,50,500,250,10,81.03999999999999,83.51,0.018951150256706528
369,50,1000,250,10,81.35999999999999,85.83999999999999,0.013893599594969459
370,10,300,250,20,94.80000000000001,93.58000000000001,0.004057222710588498
371,10,500,250,20,95.44,95.13000000000001,0.0031764735724300565
372,10,1000,250,20,95.12,93.84,0.00311366020086912
373,30,300,250,20,86.56,75.3,0.006394669825758666
374,30,500,250,20,83.39999999999999,87.27000000000001,0.011466907590243677
375,30,1000,250,20,84.2,89.36,0.014234313985447734
376,50,300,250,20,79.0,85.13999999999999,0.01005105220362613
377,50,500,250,20,80.76,84.74000000000001,0.01847862843303452
378,50,1000,250,20,81.32,84.93,0.014705442956120455
379,10,300,250,30,94.84,88.07000000000001,0.004677642040497875
380,10,500,250,30,94.76,91.3,0.00454133642715157
381,10,1000,250,30,94.72,90.19999999999999,0.004345040661020713
382,30,300,250,30,88.27999999999999,75.46000000000001,0.005654198173974054
383,30,500,250,30,83.39999999999999,88.58,0.010708831415682055
384,30,1000,250,30,84.72,90.73,0.008116966947382427
385,50,300,250,30,78.08,82.72999999999999,0.00804180101473213
386,50,500,250,30,81.16,85.42,0.013564301611443801
387,50,1000,250,30,81.28,85.63000000000001,0.013686683102757929
388,10,300,250,40,95.44,87.85000000000001,0.004559120641468141
389,10,500,250,40,93.11999999999999,72.34,0.0056874002024339095
390,10,1000,250,40,95.0,95.41000000000001,0.0033798216652839654
391,30,300,250,40,88.27999999999999,77.86999999999999,0.005807639171355579
392,30,500,250,40,83.52000000000001,86.55,0.010259271547852458
393,30,1000,250,40,84.12,88.73,0.011195471915384938
394,50,300,250,40,77.03999999999999,84.96000000000001,0.012334592863989413
395,50,500,250,40,80.80000000000001,85.07000000000001,0.013685725020795745
396,50,1000,250,40,80.64,84.78,0.013423666534762551
397,10,300,250,50,94.64,90.63000000000001,0.004708132483640652
398,10,500,250,50,94.67999999999999,93.88,0.004511420700327979
399,10,1000,250,50,94.67999999999999,95.03999999999999,0.004860109436297888
400,30,300,250,50,86.24000000000001,79.37,0.005690498794994315
401,30,500,250,50,81.08000000000001,89.23,0.008341116328441872
402,30,1000,250,50,84.44,91.38,0.0066167566128356795
403,50,300,250,50,76.36,79.57,0.010466123912719318
404,50,500,250,50,80.32000000000001,84.41000000000001,0.01335683763919065
405,50,1000,250,50,80.24,86.59000000000002,0.007790474902982026
406,10,300,500,10,95.06,80.26500000000001,0.0033935073908522508
407,10,500,500,10,95.34,85.7,0.0032508992980545943
408,10,1000,500,10,95.0,84.88,0.003056530929260463
409,30,300,500,10,95.22,96.66499999999999,0.002379159974090809
