,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
196,50,1000,250,30,10,75,32.56,36.39,0.12590888109461584
197,10,300,250,30,10,100,30.48,27.54,0.14026410555508725
198,10,1000,250,30,10,100,33.72,29.07,0.1481492647087585
199,50,300,250,30,10,100,30.599999999999998,33.82,0.12253734948347178
200,50,1000,250,30,10,100,32.0,36.92,0.12510262965344734
201,10,300,250,50,2,75,32.080000000000005,29.98,0.10184727361729105
202,10,1000,250,50,2,75,37.28,31.25,0.11207836123566939
203,50,300,250,50,2,75,34.760000000000005,35.36,0.09879217384539424
204,50,1000,250,50,2,75,36.64,37.92,0.10291646879089558
205,10,300,250,50,2,100,35.199999999999996,29.45,0.07536739727774017
206,10,1000,250,50,2,100,39.239999999999995,31.95,0.1199761975232457
207,50,300,250,50,2,100,33.36,35.099999999999994,0.09748468671898122
208,50,1000,250,50,2,100,38.0,38.01,0.10511150479957157
209,10,300,250,50,4,75,31.6,27.37,0.0873028567548562
210,10,1000,250,50,4,75,34.199999999999996,28.82,0.11013195263697832
211,50,300,250,50,4,75,32.04,33.53,0.08099756769720537
212,50,1000,250,50,4,75,30.2,35.419999999999995,0.09806900889290969
213,10,300,250,50,4,100,31.36,27.959999999999997,0.10630389419656956
214,10,1000,250,50,4,100,33.879999999999995,28.83,0.10751710293747843
215,50,300,250,50,4,100,31.0,32.83,0.09041569733932481
216,50,1000,250,50,4,100,29.359999999999996,35.27,0.09680435040609203
217,10,300,250,50,5,75,28.92,27.229999999999997,0.10563021006117186
218,10,1000,250,50,5,75,33.4,29.14,0.11831893502689479
219,50,300,250,50,5,75,29.04,30.130000000000003,0.09867749647040674
220,50,1000,250,50,5,75,29.759999999999998,35.32,0.10052051780157426
221,10,300,250,50,5,100,31.480000000000004,26.919999999999998,0.10534925839017498
222,10,1000,250,50,5,100,35.36,28.439999999999998,0.10842989673451436
223,50,300,250,50,5,100,32.24,33.82,0.0960416342007095
224,50,1000,250,50,5,100,31.28,35.480000000000004,0.09383653950529791
225,10,300,250,50,8,75,27.799999999999997,25.790000000000003,0.1045640528376576
226,10,1000,250,50,8,75,30.48,27.99,0.10606146952045457
227,50,300,250,50,8,75,27.32,31.759999999999998,0.08862696506368965
228,50,1000,250,50,8,75,25.64,33.940000000000005,0.09306674755121275
229,10,300,250,50,8,100,30.680000000000003,28.04,0.1009798162588887
230,10,1000,250,50,8,100,33.28,29.12,0.10917120179327486
231,50,300,250,50,8,100,30.44,32.78,0.09484523496020451
232,50,1000,250,50,8,100,31.840000000000003,36.120000000000005,0.0984193633148855
233,10,300,250,50,10,75,29.759999999999998,26.779999999999998,0.07623196143155982
234,10,1000,250,50,10,75,34.28,27.77,0.10788933991409516
235,50,300,250,50,10,75,30.080000000000002,32.19,0.09893736370239192
236,50,1000,250,50,10,75,29.880000000000003,34.239999999999995,0.10213064091112606
237,10,300,250,50,10,100,27.999999999999996,26.669999999999998,0.10615744906737656
238,10,1000,250,50,10,100,32.99999999999999,29.2,0.10943524929188768
239,50,300,250,50,10,100,29.64,32.5,0.09515864055389109
240,50,1000,250,50,10,100,28.999999999999996,35.61,0.10013420029336974
241,10,300,500,10,2,75,50.56,42.55,0.27096729536557757
242,10,1000,500,10,2,75,51.580000000000005,43.995,0.290464406387573
243,50,300,500,10,2,75,48.0,47.89,0.25338276675033056
244,50,1000,500,10,2,75,50.44,48.515,0.2504718208856366
245,10,300,500,10,2,100,54.42,47.160000000000004,0.2536171560763957
246,10,1000,500,10,2,100,55.08,47.699999999999996,0.2703531825915587
247,50,300,500,10,2,100,52.1,49.364999999999995,0.26235191283981235
248,50,1000,500,10,2,100,53.68000000000001,51.895,0.2861430220196482
249,10,300,500,10,4,75,45.879999999999995,35.135,0.294172312439352
250,10,1000,500,10,4,75,48.06,38.265,0.29131593932649014
251,50,300,500,10,4,75,45.24,41.34,0.29170288820141393
252,50,1000,500,10,4,75,48.96,42.55,0.2840954797584293
253,10,300,500,10,4,100,48.68,36.934999999999995,0.28585579668986716
254,10,1000,500,10,4,100,50.6,38.795,0.3124276082506635
255,50,300,500,10,4,100,45.76,41.76499999999999,0.2362064050241367
256,50,1000,500,10,4,100,48.88,43.105000000000004,0.24957002379687487
257,10,300,500,10,5,75,44.54,34.69,0.2763362064563576
258,10,1000,500,10,5,75,46.54,36.69,0.29760636201433377
259,50,300,500,10,5,75,42.300000000000004,40.36,0.2825543433160226
260,50,1000,500,10,5,75,45.56,41.65,0.29895417434646554
261,10,300,500,10,5,100,49.44,37.019999999999996,0.29026138142549285
262,10,1000,500,10,5,100,51.260000000000005,39.38,0.3056403157035444
263,50,300,500,10,5,100,48.0,41.99,0.28795137213526495
264,50,1000,500,10,5,100,51.16,43.19499999999999,0.3037433681743032
265,10,300,500,10,8,75,42.5,31.8,0.293885021781157
266,10,1000,500,10,8,75,45.06,33.14,0.3000513715097187
267,50,300,500,10,8,75,41.22,36.71,0.25721306935733135
268,50,1000,500,10,8,75,44.86,38.395,0.2709056740906318
269,10,300,500,10,8,100,46.26,33.745,0.284884046155377
270,10,1000,500,10,8,100,49.00000000000001,36.57,0.30632275685533344
271,50,300,500,10,8,100,44.519999999999996,38.915,0.2724060634202679
272,50,1000,500,10,8,100,47.53999999999999,39.455,0.27918484478798056
273,10,300,500,10,10,75,43.08,33.04,0.27298701082175886
274,10,1000,500,10,10,75,45.220000000000006,33.17,0.2866597515814193
275,50,300,500,10,10,75,39.72,36.24,0.2556455638399899
276,50,1000,500,10,10,75,44.36,37.71,0.26477026175848606
277,10,300,500,10,10,100,47.86,36.705,0.2941557577495245
278,10,1000,500,10,10,100,49.46,38.29,0.31549512007776864
279,50,300,500,10,10,100,47.260000000000005,41.445,0.2585420755554056
280,50,1000,500,10,10,100,49.08,42.225,0.26450425145077744
281,10,300,500,30,2,75,36.120000000000005,26.105,0.15161454627859816
282,10,1000,500,30,2,75,37.32,27.395000000000003,0.15393944701513304
283,50,300,500,30,2,75,35.54,32.9,0.14385361736697877
